"Barcode"	"Cluster"
"E09_H04_P4-E06_LIG257_4_1"	"E09_H04_P4-E06_LIG257_4_1"	"SRI"
"E09_H06_P4-E05_LIG3_4_1"	"E09_H06_P4-E05_LIG3_4_1"	"SRI"
"E09_H07_P4-E06_LIG343_4_1"	"E09_H07_P4-E06_LIG343_4_1"	"SRI"
"E09_H09_P4-E05_LIG65_4_1"	"E09_H09_P4-E05_LIG65_4_1"	"SRI"
"E10_A08_P4-E06_LIG24_4_1"	"E10_A08_P4-E06_LIG24_4_1"	"SRI"
"E11_B09_P4-E05_LIG114_4_1"	"E11_B09_P4-E05_LIG114_4_1"	"SRI"
"F01_F07_P4-E04_LIG80_4_1"	"F01_F07_P4-E04_LIG80_4_1"	"SRI"
"F01_F08_P4-E06_LIG200_4_1"	"F01_F08_P4-E06_LIG200_4_1"	"SRI"
"F01_F08_P4-E06_LIG358_4_1"	"F01_F08_P4-E06_LIG358_4_1"	"SRI"
"F02_A04_P4-E04_LIG56_4_1"	"F02_A04_P4-E04_LIG56_4_1"	"SRI"
"F02_A08_P4-E06_LIG90_4_1"	"F02_A08_P4-E06_LIG90_4_1"	"SRI"
"F03_B07_P4-E04_LIG279_4_1"	"F03_B07_P4-E04_LIG279_4_1"	"SRI"
"F03_B10_P4-E05_LIG234_4_1"	"F03_B10_P4-E05_LIG234_4_1"	"SRI"
"F03_B11_P4-E06_LIG197_4_1"	"F03_B11_P4-E06_LIG197_4_1"	"SRI"
